s_sat,T_sat,p_sat,h_sat,d_sat
-199.58584025158058,403.3706763335688,1929078.6492985971,-46408.731998824835,880.471219247984
-198.76853993871006,403.56631095991554,1936193.3306613225,-46070.904858462076,879.1899722961439
-197.9527102034861,403.76140583803965,1943308.012024048,-45733.499856696704,877.9084535708316
-197.13833506945218,403.95596441052044,1950422.6933867733,-45396.51151722797,876.6266449626805
-196.3253986571405,404.1499900852909,1957537.374749499,-45059.93438813101,875.3445283336633
-195.51388518172672,404.343486236113,1964652.0561122242,-44723.76304107918,874.0620855144156
-194.703778950713,404.5364562030429,1971766.7374749498,-44387.9920705743,872.7792983015499
-193.8950643616246,404.7289032928901,1978881.4188376754,-44052.616093178294,871.4961484549503
-193.0877258997359,404.9208307796662,1985996.1002004007,-43717.62974675366,870.2126176950638
-192.28174813580307,405.11224190502907,1993110.7815631262,-43383.02768970115,868.9286877001533
-191.47711572382684,405.30313987871665,2000225.4629258516,-43048.804600207666,867.6443401035561
-190.67381339882115,405.49352787897567,2007340.1442885771,-42714.95517549181,866.3595564909014
-189.8718259746074,405.6834090529814,2014454.8256513025,-42381.474131056195,865.0743183973244
-189.07113834162874,405.87278651724944,2021569.507014028,-42048.35619994475,863.7886073046698
-188.27173546475277,406.0616633580455,2028684.1883767534,-41715.5961319913,862.5024046386181
-187.47360238111668,406.25004263178306,2035798.869739479,-41383.188693082244,861.2156917658493
-186.6767241979774,406.4379273654158,2042913.5511022042,-41051.12866441785,859.9284499911628
-185.8810860905672,406.62532055682465,2050028.2324649298,-40719.41084177144,858.6406605545543
-185.08667329996044,406.81222517519814,2057142.9138276551,-40388.03003475166,857.3523046282712
-184.29347113095778,406.9986441614066,2064257.5951903807,-40056.9810660662,856.0633633138544
-183.50146495000848,407.18458042836187,2071372.276553106,-39726.25877079959,854.7738176391877
-182.71064018303647,407.3700368613951,2078486.9579158316,-39395.85799564771,853.4836485553413
-181.92098231341043,407.55501631859863,2085601.639278557,-39065.77359820804,852.1928369336193
-181.13247687983463,407.73952163118133,2092716.3206412825,-38736.00044623412,850.9013635624189
-180.34510947427276,407.9235556038113,2099831.002004008,-38406.53341690085,849.609209144099
-179.55886573987598,408.10712101495477,2106945.683366733,-38077.36739606812,848.3163542918184
-178.77373136891066,408.29022061720923,2114060.364729459,-37748.49727754105,847.0227795263107
-177.98969210068904,408.4728571376323,2121175.0460921843,-37419.917962329055,845.7284652726338
-177.2067337195146,408.6550332780625,2128289.7274549096,-37091.62435790724,844.4333918568898
-176.42484205261016,408.8367517154384,2135404.4088176354,-36763.61137746795,843.1375395028602
-175.64400296806477,409.0180151021102,2142519.0901803607,-36435.87393917754,841.8408883286428
-174.8642023726718,409.198826066168,2149633.771543086,-36108.406965385024,840.5434183430253
-174.08542621036267,409.3791872116417,2156748.4529058114,-35781.205382071836,839.2451094429355
-173.30766045925085,409.5591011189845,2163863.134268537,-35454.26411773071,837.9459414082257
-172.53089113031325,409.7385703452113,2170977.8156312625,-35127.57810291009,836.6458938994951
-171.75510426504385,409.91759742424506,2178092.496993988,-34801.142269337404,835.3449464539261
-170.98028593341365,410.09618486719404,2185207.178356713,-34474.95154916266,834.0430784816472
-170.20642223179468,410.2743351626316,2192321.859719439,-34149.00087418631,832.7402692619844
-169.43349928088,410.4520507768706,2199436.5410821643,-33823.28517508155,831.4364979396516
-168.66150322358695,410.6293341542355,2206551.2224448896,-33497.79938060781,830.1317435208573
-167.89042022296582,410.8061877173291,2213665.903807615,-33172.538416822834,828.825984869384
-167.12023646009004,410.9826138672945,2220780.5851703407,-32847.497206285654,827.5192007025648
-166.35093813193774,411.15861498407514,2227895.266533066,-32522.670667252078,826.2113695872087
-165.5825114492661,411.33419342666883,2235009.9478957914,-32198.05371286554,824.9024699354511
-164.81494263447135,411.509351533379,2242124.6292585167,-31873.641250338587,823.5924800005307
-164.0482179194339,411.6840916220621,2249239.3106212425,-31549.42818012614,822.2813778724833
-163.28232354335492,411.8584159903706,2256353.991983968,-31225.409395092254,820.9691414737674
-162.51724575057014,412.03232691599345,2263468.673346693,-30901.579779665055,819.655748554797
-161.7529705400049,412.2058267132329,2270583.3547094185,-30577.934103791762,818.3411762618114
-160.98948467390673,412.3789175038218,2277698.0360721443,-30254.46745023583,817.0254028720179
-160.2267741298478,412.55160156799445,2284812.7174348696,-29931.174559133957,815.7084051294867
-159.46482515501555,412.7238811050214,2291927.398797595,-29608.05027438783,814.3901600589002
-158.70362398359114,412.8957582967413,2299042.0801603207,-29285.089424224374,813.070644475495
